city,latitude,longitude,name,zip,state
Laramie,41.30959,-105.56668,Taco Bell,82070,WY
Belle Fourche,44.66263,-103.85504,Taco John's,57717,SD
Shreveport,32.4316,-93.71381,Whataburger,71105,LA
Tahlequah,35.9196,-94.96673,Northeastern State University,74464,OK
Alexandria,31.29621,-92.478,McDonald's,71303,LA
Ellsworth,44.5325,-68.408,Taco Bell,4605,ME
Ellsworth,44.53099,-68.40688,McDonald's,4605,ME
Albuquerque,35.14515,-106.58797,Pizza Hut,87109,NM
Natchitoches,31.75412,-93.08107,McDonald's,71457,LA
Gardiner,44.22938,-69.77157,Domino's Pizza,4345,ME
Springdale,36.17034,-94.13983,SONIC Drive In,72764,AR
Stigler,35.25441,-95.10962,McDonald's,74462,OK
Atoka,34.3717,-96.13563,Taco Bell,74525,OK
Checotah,35.47132,-95.52156,Subway,74426,OK
Springfield,44.04537,-122.96621,Domino's Pizza,97478,OR
Brattleboro,42.83924,-72.56684,Domino's Pizza,5301,VT
Wagoner,35.96083,-95.39476,SONIC Drive In,74467,OK
Alexandria,31.26788,-92.48741,Subway,71303,LA
Endicott,42.09591,-76.05453,McDonald's,13760,NY
West Lafayette,40.45384,-86.91841,Jimmy John's,47906,IN
Saint Albans,44.8396,-73.08202,Taco Bell,5478,VT
Burlington,44.44926,-73.20896,SUBWAY,5401,VT
Alexandria,40.24008,-85.66922,Pizza Hut,46001,IN
Montpelier,44.25664,-72.57701,Domino's Pizza,5602,VT
North Wilkesboro,36.16562,-81.13658,Wendy's,28659,NC
Houlton,46.13483,-67.83927,Domino's Pizza,4730,ME
Williston,48.1566,-103.6262,Taco John's,58801,ND
Columbia,34.064617,-80.95748,Sarku Japan,29223,SC
Mason City,43.14776,-93.21414,Taco Bell,50401,IA
Spencer,43.12617,-95.15025,Taco Bell,51301,IA
Washington,41.29768,-91.69085,Taco Bell,52353,IA
Owens Cross Roads,34.657839,-86.483357,Taco Bell,35763,AL
West Columbia,33.93912,-81.150724,Pizza Hut,29170,SC
Jacksonville,39.723201,-90.240464,Taco Bell,62650,IL
Seneca Falls,42.9037,-76.8312,Burger King,13148,NY
Camden,34.24907,-80.64598,Chick-fil-A,29020,SC
Rawlins,41.77618,-107.22593,Subway,82301,WY
Malone,44.84987,-74.28485,Domino's Pizza,12953,NY
Clinton,40.14714,-88.97722,Taco Bell,61727,IL
Cobleskill,42.67962,-74.47452,Taco Bell,12043,NY
Ogdensburg,44.690205,-75.4774,McDonald's,13669,NY
Monmouth,40.9107,-90.64483,Taco Bell,61462,IL
Eastlake,41.642781,-81.468481,Burger King,44095,OH
Jefferson City,38.58174,-92.20713,Captain D's,65109,MO
Fairfield,38.37957,-88.37697,McDonald's,62837,IL
Jefferson City,38.58134,-92.21398,Jack in the Box,65109,MO
Murphysboro,37.78839,-89.32524,McDonald's,62966,IL
